IPE
----------------------------------------------------------------------
            IPE               h               b              tw              tf               r              h1               P               A              Iy            wely              iy              sy              Iz            welz              iz              It            wply            wplz              Iw
             80               8             4.6            0.38            0.52             0.5             NaN             6.0            7.64            80.1            20.0            3.24             NaN            8.49            3.69            1.05            0.70           23.22            5.82    1.187547e+02
            100              10             5.5            0.41            0.57             0.7             NaN             8.1           10.30           171.0            34.2            4.07             NaN           15.90            5.79            1.24            1.10           39.41            9.15    3.534765e+02
            120              12             6.4            0.44            0.63             0.7             NaN            10.4           13.20           318.0            53.0            4.90             NaN           27.70            8.65            1.45            1.71           60.73           13.58    8.952425e+02
            140              14             7.3            0.47            0.69             0.7             NaN            12.9           16.40           541.0            77.3            5.74             NaN           44.90           12.30            1.65            2.54           88.34           19.25    1.988577e+03
            160              16             8.2            0.50            0.74             0.9             NaN            15.8           20.10           869.0           109.0            6.58             NaN           68.30           16.70            1.84            3.53          123.90           26.10    3.976214e+03
            180              18             9.1            0.53            0.80             0.9             NaN            18.8           23.90          1317.0           146.0            7.42             NaN          101.00           22.20            2.05            4.90          166.40           34.60    7.469960e+03
            200              20            10.0            0.56            0.85             1.2             NaN            22.4           28.50          1943.0           194.0            8.26             NaN          142.00           28.50            2.24            6.46          220.60           44.61    1.301865e+04
            220              22            11.0            0.59            0.92             1.2             NaN            26.2           33.40          2772.0           252.0            9.11             NaN          205.00           37.30            2.48            8.86          285.40           58.11    2.277378e+04
            240              24            12.0            0.62            0.98             1.5             NaN            30.7           39.10          3892.0           324.0            9.97             NaN          284.00           47.30            2.69           11.60          366.60           73.92    3.762435e+04
            270              27            13.5            0.66            1.02             1.5             NaN            36.1           45.90          5790.0           429.0           11.20             NaN          420.00           62.20            3.02           14.93          484.00           96.95    7.087084e+04
            300              30            15.0            0.71            1.07             1.5             NaN            42.2           53.80          8356.0           557.0           12.50             NaN          604.00           80.50            3.35           19.47          628.40          125.20    1.263787e+05
            330              33            16.0            0.75            1.15             1.8             NaN            49.1           62.60         11770.0           713.0           13.70             NaN          788.00           98.50            3.55           25.70          804.30          153.70    1.998412e+05
            360              36            17.0            0.80            1.27             1.8             NaN            57.1           72.70         16270.0           904.0           15.00             NaN         1043.00          123.00            3.79           36.20         1019.00          191.10    3.145096e+05
            400              40            18.0            0.86            1.35             2.1             NaN            66.3           84.50         23130.0          1160.0           16.50             NaN         1318.00          146.00            3.95           46.80         1307.00          229.00    4.922145e+05
            450              45            19.0            0.94            1.46             2.1             NaN            77.6           98.80         33740.0          1500.0           18.50             NaN         1676.00          176.00            4.12           63.80         1702.00          276.40    7.943115e+05
            500              50            20.0            1.02            1.60             2.1             NaN            90.7          116.00         48200.0          1930.0           20.40             NaN         2142.00          214.00            4.31           89.00         2194.00          335.90    1.254441e+06
            550              55           221.0            1.11            1.72             2.4             NaN           106.0          134.00         67120.0          2440.0           22.30             NaN         2668.00          254.00            4.45          118.40         2787.00          400.50    1.893452e+06
            600              60            22.0            1.20            1.90             2.4             NaN           122.0          156.00         92080.0          3070.0           24.30             NaN         3387.00          308.00            4.66          166.20         3512.00          485.60    2.858298e+06

HEB
----------------------------------------------------------------------
            HEB               h               b              tw              tf               r              h1               P               A              Iy            wely              iy              sy              Iz            welz              iz              It            wply            wplz              Iw
            100              10              10            0.60            1.00             1.2             NaN            20.4            26.0             450              90            4.16             NaN             167              33            2.53            9.05           104.2           51.42    3.381750e+03
            120              12              12            0.65            1.10             1.2             NaN            26.7            34.0             864             144            5.04             NaN             318              53            3.06           14.40           165.2           80.97    9.445395e+03
            140              14              14            0.70            1.20             1.2             NaN            33.7            43.0            1509             216            5.93             NaN             550              79            3.58           21.80           245.4          119.80    2.252800e+04
            160              16              16            0.80            1.30             1.5             NaN            42.6            54.3            2492             311            6.78             NaN             889             111            4.05           32.20           354.0          170.00    4.802600e+04
            180              18              18            0.85            1.40             1.5             NaN            51.2            65.3            3831             426            7.66             NaN            1363             151            4.57           45.10           481.4          231.00    9.389707e+04
            200              20              20            0.90            1.50             1.8             NaN            61.3            78.1            5696             570            8.54             NaN            2003             200            5.07           61.40           642.5          305.80    1.713817e+05
            220              22              22            0.95            1.60             1.8             NaN            71.5            91.0            8091             736            9.43             NaN            2843             258            5.59           81.80           827.0          393.90    2.957857e+05
            240              24              24            1.00            1.70             2.1             NaN            83.2           106.0           11260             938           10.30             NaN            3923             327            6.08          107.00          1053.0          498.40    4.877172e+05
            260              26              26            1.00            1.75             2.4             NaN            93.0           118.4           14920            1150           11.20             NaN            5135             395            6.58          125.00          1283.0          602.20    7.549252e+05
            280              28              28            1.05            1.80             2.4             NaN           103.0           131.4           19270            1380           12.10             NaN            6595             471            7.09          148.00          1534.0          717.60    1.131768e+06
            300              30              30            1.10            1.90             2.7             NaN           117.0           149.1           25170            1680           13.00             NaN            8563             571            7.58          188.00          1869.0          870.10    1.690358e+06
            320              32              30            1.15            2.05             2.7             NaN           127.0           161.3           30820            1930           13.80             NaN            9239             616            7.57          233.00          2149.0          939.10    2.071852e+06
            340              34              30            1.20            2.15             2.7             NaN           135.0           170.9           36660            2160           14.60             NaN            9690             646            7.53          270.00          2408.0          985.70    2.457439e+06
            360              36              30            1.25            2.25             2.7             NaN           142.0           180.6           43190            2400           15.50             NaN           10140             676            7.49          310.00          2683.0         1032.00    2.887523e+06
            400              40              30            1.35            2.40             2.7             NaN           155.0           197.8           57680            2880           17.10             NaN           10820             721            7.40          382.00          3232.0         1104.00    3.824221e+06
            450              45              30            1.40            2.60             2.7             NaN           171.0           218.0           79890            3550           19.10             NaN           11720             781            7.33          485.00          3982.0         1198.00    5.267437e+06
            500              50              30            1.45            2.80             2.7             NaN           187.0           238.6          107180           42990           21.20             NaN           12620             842            7.27          605.00          4815.0         1292.00    7.028835e+06
            550              55              30            1.50            2.90             2.7             NaN           199.0           254.1          136690            4970           23.20             NaN           13080             872            7.17          679.00          5591.0         1341.00    8.876121e+06
            600              60              30            1.55            3.00             2.7             NaN           212.0           270.0          171040            5700           25.20             NaN           13530             902            7.08          759.00          6425.0         1391.00    1.098974e+07
            650              65              30            1.60            3.10             2.7             NaN           225.0           286.3          210620            6480           27.10             NaN           13980             932            6.99          845.00          7320.0         1441.00    1.339148e+07
            700              70              30            1.70            3.20             2.7             NaN           241.0           306.4          256890            7340           29.00             NaN           14440             963            6.87          949.00          8327.0         1495.00    1.610869e+07
            800              80              30            1.75            3.30             3.0             NaN           262.0           334.2          359080            8980           32.80             NaN           14900             994            6.68         1062.00         10230.0         1553.00    2.191377e+07
            900              90              30            1.85            3.50             3.0             NaN           291.0           371.3          494070           10980           36.50             NaN           15820            1050            6.53         1290.00         12580.0         1658.00    2.959230e+07
           1000             100              30            1.90            3.60             3.0             NaN           314.0           400.0          644750           12890           40.10             NaN           16280            1090            6.38         1432.00         14860.0         1716.00    3.782235e+07

UAP
----------------------------------------------------------------------
            UAP               h               b              tw              tf               r               P               A              d1              d2              Iy
            NaN              80            45.0             5.0            8.00            8.00            8.38            10.7            1.61            2.89           107.0
            NaN             100            50.0             5.5            8.50            8.50           10.50            13.4            1.70            3.30           209.0
            NaN             130            44.0             6.0            9.50            9.50           13.70            17.5            1.78            3.72           459.0
            NaN             150            65.0             7.0           10.25           10.25           17.90            22.9            2.05            4.45           797.0
            NaN             175            70.0             7.5           10.75           10.75           21.20            27.0            2.12            4.88          1272.0
            NaN             200             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN          1946.0
            NaN             220             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN

UPE
----------------------------------------------------------------------
            UPE               h               b              tw              tf               r              h1               P               A              Iy            wely              iy              sy              Iz            welz              iz              It            wply            wplz              Iw
             80               8             5.0            0.40            0.70             1.0             NaN            7.90            10.1             107            26.8            3.26             NaN            25.5             8.0            1.59            1.47            31.2            14.3            0.22
            100              10             5.5            0.45            0.75             1.0             NaN            9.82            12.5             207            41.4            4.07             NaN            38.3            10.6            1.75            2.01            48.0            19.3            0.53
            120              12             6.0            0.50            0.80             1.2             NaN           12.10            15.4             364            60.6            4.86             NaN            55.5            13.8            1.90            2.90            70.3            25.3            1.12
            140              14             6.5            0.50            0.90             1.2             NaN           14.50            18.4             600            85.6            5.71             NaN            78.8            18.2            2.07            4.05            98.8            33.2            2.20
            160              16             7.0            0.55            0.95             1.2             NaN           17.00            21.7             911           114.0            6.48             NaN           107.0            22.6            2.22            5.20           132.0            41.5            3.96
            180              18             7.5            0.55            1.05             1.2             NaN           19.70            25.1            1350           150.0            7.34             NaN           144.0            28.6            2.39            6.99           173.0            52.3            6.81
            200              20             8.0            0.60            1.10             1.3             NaN           22.80            29.0            1910           191.0            8.11             NaN           187.0            34.5            2.54            8.89           220.0            63.3           11.00
            220              22             8.5            0.65            1.20             1.3             NaN           26.60            33.9            2680           244.0            8.90             NaN           247.0            42.5            2.70           12.10           281.0            78.2           17.60
            240              24             9.0            0.70            1.25             1.5             NaN           30.20            38.5            3600           300.0            9.67             NaN           311.0            50.1            2.84           15.10           347.0            92.2           26.40
            270              27             9.5            0.75            1.35             1.5             NaN           35.20            44.8            5250           389.0           10.80             NaN           401.0            60.7            2.99           19.90           451.0           112.0           43.60
            300              30            10.0            0.95            1.50             1.5             NaN           44.40            56.6            7820           522.0           11.80             NaN           538.0            75.6            3.08           31.50           613.0           137.0           72.70
            330              33            10.5            1.10            1.60             1.8             NaN           53.20            67.8           11010           667.0           12.70             NaN           681.0            89.7            3.17           45.20           792.0           156.0          112.00
            360              36            11.0            1.20            1.70             1.8             NaN           61.20            77.9           14830           824.0           13.80             NaN           844.0           105.0            3.29           58.50           982.0           178.0          166.00
            400              40            11.5            1.35            1.80             1.8             NaN           72.20            91.9           20980          1050.0           15.10             NaN          1045.0           123.0            3.37           79.10          1260.0           191.0          259.00

corner
----------------------------------------------------------------------
       corner               h               b               t               r              r1            none               P               A               I               d               i
             20              20              20             2.5             3.0            1.50             NaN            0.74            0.95            0.34            0.58            0.58
             20              20              20             3.0             4.0            2.00             NaN            0.88            1.13            0.39            0.60            0.59
             20              20              20             4.0             4.0            2.00             NaN            1.14            1.46            0.49            0.63            0.58
             25              25              25             2.5             3.0            1.50             NaN            0.94            1.20            0.69            0.70            0.75
             25              25              25             3.0             4.0            2.00             NaN            1.12            1.43            0.80            0.72            0.75
             25              25              25             4.0             4.0            2.00             NaN            1.46            1.86            1.01            0.76            0.74
             25              25              25             5.0             4.0            2.00             NaN            1.78            2.27            1.20            0.80            0.73
             30              30              30             3.0             5.0            2.50             NaN            1.36            1.74            1.40            0.84            0.90
             30              30              30             4.0             5.0            2.50             NaN            1.78            2.27            1.80            0.88            0.89
             30              30              30             5.0             5.0            2.50             NaN            2.18            2.78            2.16            0.92            0.88
             35              35              35             3.5             3.5            1.75             NaN            1.85            2.35            2.63            0.98            1.06
             35              35              35             4.0             5.0            2.50             NaN            2.10            2.67            2.95            1.00            1.05
             35              35              35             5.0             5.0            2.50             NaN            2.57            3.28            3.56            1.04            1.04
             35              35              35             6.0             5.0            2.50             NaN            3.04            3.87            4.14            1.08            1.04
             40              40              40             4.0             6.0            3.00             NaN            2.42            3.08            4.47            1.12            1.21
             40              40              40             5.0             6.0            3.00             NaN            2.97            3.79            5.43            1.16            1.20
             40              40              40             6.0             6.0            3.00             NaN            3.52            4.48            6.31            1.20            1.19
             45              45              45             4.5             7.0            3.50             NaN            3.04            3.90            7.15            1.26            1.37
             45              45              45             5.0             7.0            3.50             NaN            3.38            4.30            7.84            1.28            1.35
             45              45              45             6.0             7.0            3.50             NaN            4.00            5.09            9.16            1.32            1.34
             45              45              45             7.0             7.0            3.50             NaN            4.60            5.86           10.40            1.36            1.33
             50              50              50             5.0             7.0            3.50             NaN            3.77            4.80           11.00            1.40            1.51
             50              50              50             6.0             7.0            3.50             NaN            4.47            5.69           12.80            1.45            1.50
             50              50              50             7.0             7.0            3.50             NaN            5.15            6.56           14.60            1.49            1.49
             50              50              50             8.0             7.0            3.50             NaN            5.82            7.41           16.30            1.52            1.48
             50              50              50             9.0             7.0            3.50             NaN            6.47            8.24           17.90            1.56            1.47
             55              55              55             5.5             8.0            4.00             NaN            4.54            5.82           16.30            1.54            1.67
             55              55              55             6.0             8.0            4.00             NaN            4.95            6.31           17.30            1.56            1.66
             55              55              55             7.0             8.0            4.00             NaN            5.68            7.27           19.70            1.60            1.64
             55              55              55             8.0             8.0            4.00             NaN            6.46            8.23           22.10            1.64            1.64
             60              60              60             6.0             8.0            4.00             NaN            5.42            6.91           22.80            1.69            1.82
             60              60              60             7.0             8.0            4.00             NaN            6.26            7.98           25.70            1.72            1.79
             60              60              60             8.0             8.0            4.00             NaN            7.09            9.03           29.20            1.77            1.80
             60              60              60            10.0             8.0            4.00             NaN            8.69           11.10           34.90            1.85            1.78
             65              65              65             7.0             9.0            4.50             NaN            6.83            8.70           33.40            1.85            1.96
             65              65              65             9.0             9.0            4.50             NaN            8.62           11.00           41.30            1.93            1.94
             65              65              65            11.0             9.0            4.50             NaN           10.30           13.20           48.80            2.00            1.91
             70              70              70             7.0             9.0            4.50             NaN            7.38            9.40           42.30            1.97            2.12
             70              70              70             8.0             9.0            4.50             NaN            8.36           10.60           47.50            2.01            2.11
             70              70              70             9.0             9.0            4.50             NaN            9.34           11.90           52.60            2.05            2.10
             70              70              70            10.0             9.0            4.50             NaN           10.30           13.10           57.20            2.09            2.09
             70              70              70            11.0             9.0            4.50             NaN           11.20           14.30           61.80            2.13            2.08
             75              75              75             8.0            10.0            5.00             NaN            9.03           11.50           58.90            2.13            2.26
             75              75              75             9.0            10.0            5.00             NaN           10.07           12.80           65.10            2.17            2.26
             75              75              75            10.0            10.0            5.00             NaN           11.10           14.10           71.40            2.21            2.25
             80              80              80             8.0            10.0            5.00             NaN            9.66           12.30           72.20            2.26            2.43
             80              80              80             9.0            10.0            5.00             NaN           10.80           13.70           80.70            2.31            2.43
             80              80              80            10.0            10.0            5.00             NaN           11.90           15.10           87.50            2.34            2.41
